"v","e","s","t"
10000,12498750,0,6490488319
10000,12498750,1,165756
10000,12498750,2,3872696602
10000,12498750,3,3872946524
10000,12498750,0,6490619801
10000,12498750,1,163146
10000,12498750,2,4082847626
10000,12498750,3,4083109030
10000,12498750,0,6478273766
10000,12498750,1,172186
10000,12498750,2,3841874804
10000,12498750,3,3842147418
10000,12498750,0,6462553005
10000,12498750,1,168996
10000,12498750,2,3751911620
10000,12498750,3,3752173646
10000,12498750,0,6467689076
10000,12498750,1,162052
10000,12498750,2,3780929472
10000,12498750,3,3781183755
10000,12498750,0,6467160663
10000,12498750,1,166056
10000,12498750,2,3685240738
10000,12498750,3,3685503388
10000,12498750,0,6500051727
10000,12498750,1,176297
10000,12498750,2,3740085278
10000,12498750,3,3740360510
10000,12498750,0,6465941457
10000,12498750,1,162205
10000,12498750,2,3739068760
10000,12498750,3,3739327529
10000,12498750,0,6506866760
10000,12498750,1,162118
10000,12498750,2,3711321268
10000,12498750,3,3711580893
10000,12498750,0,6474633046
10000,12498750,1,159974
10000,12498750,2,4279142220
10000,12498750,3,4279399946
10000,12498750,0,6491396024
10000,12498750,1,163455
10000,12498750,2,3726892312
10000,12498750,3,3727151606
10000,12498750,0,6497947074
10000,12498750,1,161395
10000,12498750,2,3733485637
10000,12498750,3,3733742132
10000,12498750,0,6464924891
10000,12498750,1,164132
10000,12498750,2,3816449682
10000,12498750,3,3816708528
10000,12498750,0,6490890773
10000,12498750,1,163658
10000,12498750,2,3747841619
10000,12498750,3,3748099210
10000,12498750,0,6482862343
10000,12498750,1,163209
10000,12498750,2,3770054296
10000,12498750,3,3770310597
10000,12498750,0,6505015028
10000,12498750,1,164368
10000,12498750,2,4063002500
10000,12498750,3,4063260913
10000,12498750,0,6490429393
10000,12498750,1,163408
10000,12498750,2,4349740195
10000,12498750,3,4349998537
10000,12498750,0,6455307699
10000,12498750,1,163865
10000,12498750,2,3875209304
10000,12498750,3,3875466894
10000,12498750,0,6462973825
10000,12498750,1,162150
10000,12498750,2,3769482824
10000,12498750,3,3769737038
10000,12498750,0,6478158060
10000,12498750,1,163942
10000,12498750,2,3772331110
10000,12498750,3,3772589974
10000,12498750,0,6469591536
10000,12498750,1,160625
10000,12498750,2,3763448881
10000,12498750,3,3763708500
10000,12498750,0,6503696004
10000,12498750,1,170725
10000,12498750,2,3683606346
10000,12498750,3,3683870340
10000,12498750,0,6476686567
10000,12498750,1,159328
10000,12498750,2,3787994272
10000,12498750,3,3788251346
10000,12498750,0,6477574771
10000,12498750,1,162143
10000,12498750,2,3750280759
10000,12498750,3,3750535841
10000,12498750,0,6483006464
10000,12498750,1,161417
10000,12498750,2,3766169405
10000,12498750,3,3766427390
10000,12498750,0,6496884899
10000,12498750,1,160054
10000,12498750,2,3749027353
10000,12498750,3,3749286118
10000,12498750,0,6483616039
10000,12498750,1,165754
10000,12498750,2,3740601268
10000,12498750,3,3740864117
10000,12498750,0,6483990655
10000,12498750,1,164903
10000,12498750,2,3797479380
10000,12498750,3,3797743251
10000,12498750,0,6462620555
10000,12498750,1,163052
10000,12498750,2,3744043735
10000,12498750,3,3744301239
10000,12498750,0,6471069542
10000,12498750,1,160408
10000,12498750,2,3749511466
10000,12498750,3,3749772224
10000,12498750,0,6459134202
10000,12498750,1,163569
10000,12498750,2,3788619469
10000,12498750,3,3788877819
10000,12498750,0,6481035143
10000,12498750,1,163722
10000,12498750,2,4151026707
10000,12498750,3,4151297951
10000,12498750,0,6483775176
10000,12498750,1,159613
10000,12498750,2,4261619172
10000,12498750,3,4261876878
10000,12498750,0,6502711816
10000,12498750,1,163900
10000,12498750,2,3763430936
10000,12498750,3,3763692397
10000,12498750,0,6459386298
10000,12498750,1,162265
10000,12498750,2,3748083448
10000,12498750,3,3748340112
10000,12498750,0,6514438401
10000,12498750,1,164450
10000,12498750,2,3742130237
10000,12498750,3,3742394853
10000,12498750,0,6482546475
10000,12498750,1,161174
10000,12498750,2,3787285343
10000,12498750,3,3787544183
10000,12498750,0,6540299073
10000,12498750,1,164604
10000,12498750,2,3785930498
10000,12498750,3,3786188490
10000,12498750,0,6502899930
10000,12498750,1,164030
10000,12498750,2,3767089852
10000,12498750,3,3767349395
10000,12498750,0,6463227036
10000,12498750,1,164092
10000,12498750,2,3742897118
10000,12498750,3,3743160688
10000,12498750,0,6495587189
10000,12498750,1,163186
10000,12498750,2,4334883895
10000,12498750,3,4335144998
10000,12498750,0,6487270295
10000,12498750,1,163250
10000,12498750,2,3671055133
10000,12498750,3,3671314933
10000,12498750,0,6478544933
10000,12498750,1,161832
10000,12498750,2,3795720583
10000,12498750,3,3795979570
10000,12498750,0,6479413875
10000,12498750,1,164782
10000,12498750,2,4275456966
10000,12498750,3,4275718089
10000,12498750,0,6506061307
10000,12498750,1,162566
10000,12498750,2,3821593595
10000,12498750,3,3821852177
10000,12498750,0,6468958388
10000,12498750,1,161468
10000,12498750,2,3749544431
10000,12498750,3,3749802814
10000,12498750,0,6513847279
10000,12498750,1,163266
10000,12498750,2,3776007585
10000,12498750,3,3776268191
10000,12498750,0,6488523629
10000,12498750,1,161023
10000,12498750,2,3761858759
10000,12498750,3,3762117820
10000,12498750,0,6475171279
10000,12498750,1,163029
10000,12498750,2,3804240788
10000,12498750,3,3804503886
10000,12498750,0,6478021234
10000,12498750,1,163442
10000,12498750,2,3764450233
10000,12498750,3,3764711391
10000,24997500,0,12963938850
10000,24997500,1,160969
10000,24997500,2,8233087087
10000,24997500,3,8233351266
10000,24997500,0,12956593547
10000,24997500,1,158711
10000,24997500,2,8240517430
10000,24997500,3,8240768786
10000,24997500,0,12987269112
10000,24997500,1,160028
10000,24997500,2,8271822557
10000,24997500,3,8272080977
10000,24997500,0,13086406653
10000,24997500,1,157704
10000,24997500,2,8325404727
10000,24997500,3,8325659601
10000,24997500,0,12942378989
10000,24997500,1,158911
10000,24997500,2,8300328692
10000,24997500,3,8300586638
10000,24997500,0,12985027865
10000,24997500,1,160239
10000,24997500,2,9077492932
10000,24997500,3,9077747744
10000,24997500,0,12986404227
10000,24997500,1,159969
10000,24997500,2,8742926444
10000,24997500,3,8743182945
10000,24997500,0,12941167581
10000,24997500,1,161223
10000,24997500,2,8282475636
10000,24997500,3,8282730750
10000,24997500,0,12959999649
10000,24997500,1,160388
10000,24997500,2,8317666826
10000,24997500,3,8317919790
10000,24997500,0,12965905701
10000,24997500,1,158642
10000,24997500,2,8346587879
10000,24997500,3,8346844275
10000,24997500,0,12992660467
10000,24997500,1,161207
10000,24997500,2,8264739127
10000,24997500,3,8264996978
10000,24997500,0,12964169429
10000,24997500,1,159933
10000,24997500,2,8330228316
10000,24997500,3,8330483096
10000,24997500,0,12954269542
10000,24997500,1,160040
10000,24997500,2,8227951657
10000,24997500,3,8228208964
10000,24997500,0,12981414547
10000,24997500,1,157535
10000,24997500,2,8961416053
10000,24997500,3,8961673459
10000,24997500,0,12966106493
10000,24997500,1,160600
10000,24997500,2,8387551515
10000,24997500,3,8387809160
10000,24997500,0,12939322060
10000,24997500,1,158214
10000,24997500,2,8328563860
10000,24997500,3,8328817543
10000,24997500,0,12962939602
10000,24997500,1,159894
10000,24997500,2,8241477409
10000,24997500,3,8241735467
10000,24997500,0,12929184354
10000,24997500,1,160243
10000,24997500,2,8906251193
10000,24997500,3,8906507356
10000,24997500,0,12938426654
10000,24997500,1,161764
10000,24997500,2,8297034716
10000,24997500,3,8297296098
10000,24997500,0,12988881450
10000,24997500,1,160994
10000,24997500,2,8425089377
10000,24997500,3,8425355830
10000,24997500,0,12913212673
10000,24997500,1,161029
10000,24997500,2,8303446549
10000,24997500,3,8303703223
10000,24997500,0,12960022143
10000,24997500,1,162221
10000,24997500,2,8369956591
