"v","e","s","t"
10000,12498750,0,46901408558
10000,12498750,1,3201071
10000,12498750,2,746167829
10000,12498750,3,752778937
10000,12498750,0,45980969518
10000,12498750,1,2891719
10000,12498750,2,674041167
10000,12498750,3,680512172
10000,12498750,0,44416799586
10000,12498750,1,2902188
10000,12498750,2,746334383
10000,12498750,3,752808948
10000,12498750,0,44516529713
10000,12498750,1,3749877
10000,12498750,2,624706507
10000,12498750,3,632305917
10000,12498750,0,42237139723
10000,12498750,1,3466106
10000,12498750,2,669291344
10000,12498750,3,676664353
10000,12498750,0,45995484365
10000,12498750,1,2966996
10000,12498750,2,667175790
10000,12498750,3,673597197
10000,12498750,0,44985279138
10000,12498750,1,3013928
10000,12498750,2,682519209
10000,12498750,3,689486658
10000,12498750,0,46665383088
10000,12498750,1,2955721
10000,12498750,2,651393290
10000,12498750,3,657939721
10000,12498750,0,44822612133
10000,12498750,1,5952953
10000,12498750,2,684236159
10000,12498750,3,693998898
10000,12498750,0,45737471627
10000,12498750,1,3654561
10000,12498750,2,669441295
10000,12498750,3,680221084
10000,12498750,0,45599289846
10000,12498750,1,2951980
10000,12498750,2,688664889
10000,12498750,3,695223867
10000,12498750,0,45367641139
10000,12498750,1,2886876
10000,12498750,2,732413366
10000,12498750,3,738788851
10000,12498750,0,44616578217
10000,12498750,1,3541629
10000,12498750,2,661853138
10000,12498750,3,668779068
10000,12498750,0,46180975957
10000,12498750,1,2997245
10000,12498750,2,680019392
10000,12498750,3,686918792
10000,12498750,0,42516476063
10000,12498750,1,3652628
10000,12498750,2,697333457
10000,12498750,3,704966717
10000,12498750,0,44184379502
10000,12498750,1,7660589
10000,12498750,2,726893129
10000,12498750,3,738584980
10000,12498750,0,44315467926
10000,12498750,1,2976312
10000,12498750,2,697992620
10000,12498750,3,704498271
10000,12498750,0,48165152093
10000,12498750,1,3632992
10000,12498750,2,659535875
10000,12498750,3,669150960
10000,12498750,0,41894199503
10000,12498750,1,3625079
10000,12498750,2,783608120
